,Alpha Dollar PnL,Net Futures Exposure
2013-07-24,116547.5,5.5
2013-07-25,116535.5,5.5
2013-07-26,116535.5,5.5
2013-07-27,116535.5,5.5
2013-07-28,116535.5,5.5
2013-07-29,116529.5,7.5
2013-07-30,116517.5,3.5
2013-07-31,116511.5,5.5
2013-08-01,116511.5,5.5
2013-08-02,116499.5,5.5
2013-08-03,116499.5,5.5
2013-08-04,116499.5,5.5
2013-08-05,116493.5,7.5
2013-08-06,116487.5,5.5
2013-08-07,131606.5,3.5
2013-08-08,132650.5,5.5
2013-08-09,130857.0,3.5
2013-08-10,130857.0,3.5
2013-08-11,130857.0,3.5
2013-08-12,130501.0,5.5
2013-08-13,131870.0,3.5
2013-08-14,130513.75,3.5
2013-08-15,126307.75,5.5
2013-08-16,125339.25,3.5
2013-08-17,125339.25,3.5
2013-08-18,125339.25,3.5
2013-08-19,123402.25,7.5
2013-08-20,126402.25,7.5
2013-08-21,123021.25,5.5
2013-08-22,126315.25,7.5
2013-08-23,128184.25,5.5
2013-08-24,128184.25,5.5
2013-08-25,128184.25,5.5
2013-08-26,127290.5,5.5
2013-08-27,119166.0,5.5
2013-08-28,121222.5,3.5
2013-08-29,121341.75,7.5
2013-08-30,118054.5,5.5
2013-08-31,118054.5,5.5
2013-09-01,118054.5,5.5
2013-09-02,118054.5,5.5
2013-09-03,120861.25,5.5
2013-09-04,124418.25,3.5
2013-09-05,124806.0,1.5
2013-09-06,125043.75,3.5
2013-09-07,125043.75,3.5
2013-09-08,125043.75,3.5
2013-09-09,127312.75,5.5
2013-09-10,130463.25,1.5
2013-09-11,130757.25,3.5
2013-09-12,130395.25,3.5
2013-09-13,131007.75,3.5
2013-09-14,131007.75,3.5
2013-09-15,131007.75,3.5
2013-09-16,132614.5,3.5
2013-09-17,134096.0,1.5
2013-09-18,135644.0,3.5
2013-09-19,135294.0,3.5
2013-09-20,133056.75,1.5
2013-09-21,133056.75,1.5
2013-09-22,133056.75,1.5
2013-09-23,132482.25,5.5
2013-09-24,131513.75,3.5
2013-09-25,130589.0,5.5
2013-09-26,131064.25,7.5
2013-09-27,129277.0,5.5
2013-09-28,129277.0,5.5
2013-09-29,129277.0,5.5
2013-09-30,126377.5,5.5
2013-10-01,128984.0,3.5
2013-10-02,129115.25,3.5
2013-10-03,127446.75,5.5
2013-10-04,129640.75,3.5
2013-10-05,129640.75,3.5
2013-10-06,129640.75,3.5
2013-10-07,127835.0,3.5
2013-10-08,124635.25,5.5
2013-10-09,123873.0,3.5
2013-10-10,129817.0,5.5
2013-10-11,132211.25,1.5
